lattice_size,L,repeat,seed,T,burn_in_cycles,production_cycles,production_steps_recorded,acceptance_rate,E_per_spin,E2_per_spin2,M_per_spin,M2_per_spin2,abs_M_per_spin,C_per_spin,chi_per_spin
8x8,8,5,810014,2.5,300,700,44800,0.290578125,-1.1985518973214286,1.554187534877232,-0.20258231026785714,0.41777941022600446,0.20258231026785714,1.20484745527742,9.644539335489078
8x8,8,5,810015,2.6,300,700,44800,0.3275625,-1.0896595982142858,1.2786887904575892,-0.14970633370535713,0.3248917715890067,0.14970633370535713,0.8646698270018498,7.44565625200017
8x8,8,5,810016,2.7,300,700,44800,0.34890625,-1.0509151785714286,1.19405517578125,-0.1210400390625,0.30713690621512274,0.1210400390625,0.7868967965272539,6.933006581543613
8x8,8,5,810017,2.8,300,700,44800,0.408234375,-0.9115485491071429,0.9067892020089285,0.12617745535714286,0.209605712890625,0.12617745535714286,0.6193342418742139,4.4270848605764845
8x8,8,5,810018,3.0,300,700,44800,0.435984375,-0.8915499441964285,0.8749962506975446,0.046256277901785714,0.2054915291922433,0.046256277901785714,0.5698485169841052,4.338173566867543
8x8,8,5,810019,3.25,300,700,44800,0.5020625,-0.7527608816964285,0.6292992292131696,-0.04262974330357143,0.13868983677455357,0.04262974330357143,0.37960882261304113,2.6953362069745266
8x8,8,5,810020,3.5,300,700,44800,0.556515625,-0.6397223772321429,0.4556027657645089,-0.03628487723214286,0.08739637102399554,0.03628487723214286,0.24219713741304072,1.5740302392364591
8x8,8,5,810021,4.0,300,700,44800,0.605765625,-0.5566183035714286,0.35108572823660716,0.01249232700892857,0.06167979649135045,0.01249232700892857,0.16504716946348852,0.9843798121160391
8x8,8,5,810022,4.5,300,700,44800,0.657546875,-0.46260323660714286,0.24998692103794642,0.009264090401785715,0.04674562726702009,0.009264090401785715,0.11373089665119517,0.6636060998548996
8x8,8,5,810023,5.0,300,700,44800,0.6940625,-0.43177176339285717,0.2251255580357143,-0.010222516741071429,0.04734547206333705,0.010222516741071429,0.09906867807318236,0.6046844443496393
