cycle,E_per_spin,M_per_spin
657,-1.75,-0.9375
658,-1.75,-0.9375
659,-1.875,-0.96875
660,-1.75,-0.90625
661,-1.875,-0.96875
662,-0.875,-0.59375
663,-1.1875,-0.75
664,-1.3125,-0.78125
665,-1.5625,-0.84375
666,-1.8125,-0.9375
667,-1.875,-0.96875
668,-1.875,-0.96875
669,-1.6875,-0.90625
670,-1.8125,-0.9375
671,-1.8125,-0.9375
672,-1.875,-0.96875
673,-1.5625,-0.875
674,-1.625,-0.8125
675,-1.5625,-0.8125
676,-1.25,-0.75
677,-1.8125,-0.9375
678,-1.8125,-0.9375
679,-1.875,-0.96875
680,-2,-1
681,-1.875,-0.96875
682,-1.75,-0.9375
683,-1.6875,-0.90625
684,-2,-1
685,-2,-1
686,-1.875,-0.96875
687,-1.75,-0.9375
688,-1.6875,-0.90625
689,-1.75,-0.9375
690,-1.75,-0.9375
691,-1.625,-0.90625
692,-1.625,-0.90625
693,-1.625,-0.90625
694,-1.75,-0.90625
695,-1.6875,-0.90625
696,-1.375,-0.78125
697,-1.0625,-0.625
698,-1,-0.46875
699,-1.0625,-0.5
700,-1.25,-0.375
